!a*!b*!c*!d,!A!B!C!D,0x0001,4
!a*!b*!c*d,!A!B!CD,0x0002,4
!a*!b*!c,!A!B!C,0x01,3
!a*!b*!c*d+!a*!b*c*!d,!A!B!CD + !A!BC!D,0x0006,8
!a*!b*!d+!a*!b*!c,!A*!B*!C + !A*!B*!D,0x0007,6
!a*!b*c*d,!A!BCD,0x0008,4
!a*!b*!c*!d+!a*!b*c*d,!A!B!C!D + !A!BCD,0x0009,8
!a*!b*d,!A!BD,0x02,3
!a*!b*d+!a*!b*!c,!A*!B*!C + !A*!B* D,0x000B,6
!a*!b*c+!a*!b*d,!A*!B* D + !A*!B* C,0x000E,6
!a*!b,!A!B,0x1,2
!a*!b*!c*d+!a*!b*c*!d+!a*b*!c*!d,!A!B!CD + !A!BC!D + !AB!C!D,0x0016,12
!a*!c*!d+!a*!b*!d+!a*!b*!c,!A*!B*!C + !A*!B*!D + !A*!C*!D,0x0017,9
!a*!b*c*d+!a*b*!c*!d,!A!BCD + !AB!C!D,0x0018,8
!a*!c*!d+!a*!b*c*d,!A*!C*!D + !A!BCD,0x0019,7
!a*!b*d+!a*b*!c*!d,!A*!B* D + !AB!C!D,0x001A,7
!a*!c*!d+!a*!b*d,!A*!B* D + !A*!C*!D,0x001B,6
!a*!b*c+!a*!b*d+!a*b*!c*!d,!A*!B* D + !A*!B* C + !AB!C!D,0x001E,10
!a*!c*!d+!a*!b,!A*!B + !A*!C*!D,0x001F,5
!a*!b*c*d+!a*b*!c*d,!A!BCD + !AB!CD,0x0028,8
!a*!b*!c*!d+!a*!b*c*d+!a*b*!c*d,!A!B!C!D + !A!BCD + !AB!CD,0x0029,12
!a*!c*d+!a*!b*d,!A*!B* D + !A*!C* D,0x002A,6
!a*!c*d+!a*!b*d+!a*!b*!c,!A*!B*!C + !A*!B* D + !A*!C* D,0x002B,9
!a*!b*c+!a*b*!c*d,!A*!B* C + !AB!CD,0x002C,7
!a*!b*c+!a*!b*!d+!a*b*!c*d,!A*!B*!D + !A*!B* C + !AB!CD,0x002D,10
!a*!c*d+!a*!b*c,!A*!B* C + !A*!C* D,0x002E,6
!a*!c*d+!a*!b,!A*!B + !A*!C* D,0x002F,5
!a*!b*c+!a*b*!c,!A!BC + !AB!C,0x06,6
!a*!c*!d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !A*!C*!D,0x003D,9
!a*!c*d+!a*!b*c+!a*b*!c,!A*!B* C + !A* B*!C + !A*!C* D,0x003E,9
!a*!c+!a*!b,!A*!B + !A*!C,0x07,4
!a*!b*c*d+!a*b*!c*d+!a*b*c*!d,!A!BCD + !AB!CD + !ABC!D,0x0068,12
!a*!b*!c*!d+!a*!b*c*d+!a*b*!c*d+!a*b*c*!d,!A!B!C!D + !A!BCD + !AB!CD + !ABC!D,0x0069,16
!a*!c*d+!a*!b*d+!a*b*c*!d,!A*!B* D + !A*!C* D + !ABC!D,0x006A,10
!a*!c*d+!a*!b*d+!a*!b*!c+!a*b*c*!d,!A*!B*!C + !A*!B* D + !A*!C* D + !ABC!D,0x006B,13
!a*c*!d+!a*!c*d+!a*!b*d,!A*!C* D + !A* C*!D + !A*!B* C,0x006E,9
!a*!c*d+!a*c*!d+!a*!b,!A*!B + !A*!C* D + !A* C*!D,0x006F,8
!a*c*!d+!a*!c*d+!a*!b*d+!a*b*!d,!A* C*!D + !A*!B* D + !A* B*!C,0x007E,9
!a*!d+!a*!c+!a*!b,!A*!B + !A*!C + !A*!D,0x007F,6
!a*b*c*d,!ABCD,0x0080,4
!a*!b*!c*!d+!a*b*c*d,!A!B!C!D + !ABCD,0x0081,8
!a*!b*!c*d+!a*b*c*d,!A!B!CD + !ABCD,0x0082,8
!a*!b*!c+!a*b*c*d,!A*!B*!C + !ABCD,0x0083,7
!a*!b*!c*d+!a*!b*c*!d+!a*b*c*d,!A!B!CD + !A!BC!D + !ABCD,0x0086,12
!a*!b*!d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !A*!B*!D + !ABCD,0x0087,10
!a*c*d,!ACD,0x08,3
!a*c*d+!a*!b*!c*!d,!A!B!C!D + !A* C* D,0x0089,7
!a*c*d+!a*!b*d,!A*!B* D + !A* C* D,0x008A,6
!a*c*d+!a*!b*!c,!A*!B*!C + !A* C* D,0x008B,6
!a*c*d+!a*!b*c+!a*!b*d,!A*!B* D + !A*!B* C + !A* C* D,0x008E,9
!a*c*d+!a*!b,!A*!B + !A* C* D,0x008F,5
!a*!b*!c*d+!a*!b*c*!d+!a*b*!c*!d+!a*b*c*d,!A!B!CD + !A!BC!D + !AB!C!D + !ABCD,0x0096,16
!a*!c*!d+!a*!b*!d+!a*!b*!c+!a*b*c*d,!A*!B*!C + !A*!B*!D + !A*!C*!D + !ABCD,0x0097,13
!a*c*d+!a*b*!c*!d,!A* C* D + !AB!C!D,0x0098,7
!a*!c*!d+!a*c*d,!A!C!D + !ACD,0x09,6
!a*c*d+!a*!b*d+!a*b*!c*!d,!A*!B* D + !AB!C!D + !A* C* D,0x009A,10
!a*!c*!d+!a*c*d+!a*!b*d,!A*!C*!D + !A* C* D + !A*!B*!C,0x009B,9
!a*c*d+!a*!b*c+!a*!b*d+!a*b*!c*!d,!A*!B* D + !A*!B* C + !AB!C!D + !A* C* D,0x009E,13
!a*!c*!d+!a*c*d+!a*!b,!A*!B + !A*!C*!D + !A* C* D,0x009F,8
!a*c*d+!a*b*d,!A* C* D + !A* B* D,0x00A8,6
